Layer	Nodes	Dense	Accuracy	Validation
32	2	0	0.9991327	0.72121215
32	2	1	0.98699045	0.7111111
32	2	2	0.97918475	0.6989899
32	3	0	0.94535995	0.75151515
32	3	1	0.8959237	0.7030303
32	3	2	0.82740676	0.7030303
32	4	0	0.72419775	0.6020202
32	4	1	0.72246313	0.67474747
32	4	2	0.7120555	0.6
64	2	0	0.98785776	0.7131313
64	2	1	0.9930616	0.7070707
64	2	2	0.9314831	0.6848485
64	3	0	0.95490026	0.72727275
64	3	1	0.8889853	0.67676765
64	3	2	0.91153514	0.6989899
64	4	0	0.7718994	0.6242424
64	4	1	0.8369471	0.64040405
64	4	2	0.73287076	0.65656567
128	2	0	0.8490893	0.69292927
128	2	1	0.9835212	0.74545455
128	2	2	0.9635733	0.7050505
128	3	0	0.9297485	0.7313131
128	3	1	0.8560278	0.6888889
128	3	2	0.8378144	0.68080807
128	4	0	0.7614918	0.65050507
128	4	1	0.72246313	0.6
128	4	2	0.8751084	0.7010101
